market_family,segment,scope,score_status,rows
bet_type_123,full_game,player,market_only,14608
bet_type_85,full_game,player,market_only,13127
bet_type_19,full_game,player,market_only,13042
bet_type_122,full_game,player,market_only,10619
bet_type_124,full_game,player,market_only,10470
bet_type_140,full_game,player,market_only,6268
bet_type_18,full_game,player,market_only,5454
bet_type_173,full_game,player,market_only,4222
bet_type_142,full_game,player,market_only,3734
bet_type_17,full_game,player,market_only,3125
bet_type_137,full_game,player,market_only,2891
game_total_runs,full_game,game,market_only,2553
moneyline,full_game,game,market_only,2079
spread,full_game,game,market_only,1981
bet_type_18,full_game,player,unscored_no_projection,1635
bet_type_173,full_game,player,unscored_no_projection,1427
bet_type_774,full_game,player,unscored_no_projection,1352
bet_type_631,full_game,player,market_only,1220
bet_type_126,full_game,player,market_only,1093
bet_type_137,full_game,player,unscored_no_projection,1013
bet_type_133,full_game,player,market_only,965
bet_type_135,full_game,player,market_only,911
bet_type_138,full_game,player,market_only,874
bet_type_122,full_game,player,unscored_no_projection,847
bet_type_124,full_game,player,unscored_no_projection,822
bet_type_816,full_game,player,unscored_no_projection,588
bet_type_774,full_game,player,market_only,584
bet_type_19,full_game,player,unscored_no_projection,566
bet_type_936,full_game,game,market_only,540
bet_type_924,full_game,game,market_only,449
bet_type_926,full_game,game,market_only,428
bet_type_136,full_game,player,market_only,376
bet_type_85,full_game,player,unscored_no_projection,352
bet_type_815,full_game,game,market_only,269
team_total_runs,full_game,team,market_only,230
bet_type_1358,full_game,player,unscored_no_projection,147
bet_type_937,full_game,game,market_only,128
bet_type_126,full_game,player,unscored_no_projection,96
bet_type_135,full_game,player,unscored_no_projection,83
bet_type_631,full_game,player,unscored_no_projection,21
moneyline,full_game,game,unscored_no_projection,17
spread,full_game,game,unscored_no_projection,15
bet_type_138,full_game,player,unscored_no_projection,15
bet_type_17,inning_1,player,market_only,14
bet_type_17,full_game,player,unscored_no_projection,12
bet_type_140,full_game,player,unscored_no_projection,11
bet_type_123,full_game,player,unscored_no_projection,11
bet_type_133,full_game,player,unscored_no_projection,11
bet_type_133,inning_1,player,market_only,10
bet_type_17,inning_1,player,unscored_no_projection,7
bet_type_133,inning_1,player,unscored_no_projection,6
bet_type_138,inning_1,player,market_only,4
bet_type_142,full_game,player,unscored_no_projection,4
bet_type_138,inning_1,player,unscored_no_projection,4
bet_type_136,full_game,player,unscored_no_projection,2
game_total_runs,full_game,game,unscored_no_projection,1
